id;name;url;team;position;value;growth;goals;assists;red;yellow;shots;saves;games_played;popularity;trend;index
joe_bennett;Joe Bennett;/da/premier-league-fantasy-fall-2018/players/joe_bennett;Cardiff;Forsvar;2628000;128.000;-;1;-;-;-;-;100%;0.001;0,1%;1
sean_morrison;Sean Morrison;/da/premier-league-fantasy-fall-2018/players/sean_morrison;Cardiff;Forsvar;3118000;118.000;-;1;-;1;1;-;100%;0.002;0,2%;-1
bruno_ecuele_manga;Bruno Ecuele Manga;/da/premier-league-fantasy-fall-2018/players/bruno_ecuele_manga;Cardiff;Forsvar;2578000;78.000;-;-;-;-;-;-;100%;0;0,0%;-
ashley_richards;Ashley 'Jazz' Richards;/da/premier-league-fantasy-fall-2018/players/ashley_richards;Cardiff;Forsvar;1980000;-20.000;-;-;-;-;-;-;0%;0.001;0,1%;-
souleymane_bamba;Souleymane 'Sol' Bamba;/da/premier-league-fantasy-fall-2018/players/souleymane_bamba;Cardiff;Forsvar;2588000;88.000;-;-;-;-;1;-;100%;0.001;0,1%;-1
matthew_connolly;Matthew Connolly;/da/premier-league-fantasy-fall-2018/players/matthew_connolly;Cardiff;Forsvar;1980000;-20.000;-;-;-;-;-;-;0%;0;0,0%;-
callum_paterson;Callum Paterson;/da/premier-league-fantasy-fall-2018/players/callum_paterson;Cardiff;Forsvar;4053000;53.000;-;-;-;-;-;-;75%;0.001;0,1%;-
joe_ralls;Joe Ralls;/da/premier-league-fantasy-fall-2018/players/joe_ralls;Cardiff;Midtbane;2978000;-22.000;-;-;-;-;-;-;100%;0.001;0,1%;-
kadeem_harris;Kadeem Harris;/da/premier-league-fantasy-fall-2018/players/kadeem_harris;Cardiff;Midtbane;1980000;-20.000;-;-;-;-;-;-;0%;0;0,0%;-
will_norris;Will Norris;/da/premier-league-fantasy-fall-2018/players/will_norris;Wolverhampton;Mål;2480000;-20.000;-;-;-;-;-;-;0%;0.004;0,4%;-1
anthony_pilkington;Anthony Pilkington;/da/premier-league-fantasy-fall-2018/players/anthony_pilkington;Cardiff;Midtbane;2980000;-20.000;-;-;-;-;-;-;0%;0;0,0%;-
aron_gunnarsson;Aron Gunnarsson;/da/premier-league-fantasy-fall-2018/players/aron_gunnarsson;Cardiff;Midtbane;2480000;-20.000;-;-;-;-;-;-;0%;0.002;0,2%;-1
loic_damour;Loic Damour;/da/premier-league-fantasy-fall-2018/players/loic_damour;Cardiff;Midtbane;2480000;-20.000;-;-;-;-;-;-;0%;0;0,0%;-
john_ruddy;John Ruddy;/da/premier-league-fantasy-fall-2018/players/john_ruddy;Wolverhampton;Mål;3480000;-20.000;-;-;-;-;-;-;0%;0;0,0%;-
